"indicator";"year";"energy_type";"value";"area";"emission_type";"purpose";"sector"
"co2_per_kwh";2015;"Electricity";349,7;NA;NA;NA;NA
"co2_per_kwh";2016;"Electricity";370;NA;NA;NA;NA
"co2_per_kwh";2017;"Electricity";291,6;NA;NA;NA;NA
"co2_per_kwh";2018;"Electricity";306,9;NA;NA;NA;NA
"co2_per_kwh";2019;"Electricity";228,3;NA;NA;NA;NA
"co2_per_kwh";2020;"Electricity";230,8;NA;NA;NA;NA
"co2_per_kwh";2021;"Electricity";206;NA;NA;NA;NA
"co2_per_kwh";2022;"Electricity";162,3;NA;NA;NA;NA
"co2_per_kwh";2015;"Destrict heating";115,5;NA;NA;NA;NA
"co2_per_kwh";2016;"Destrict heating";108,7;NA;NA;NA;NA
"co2_per_kwh";2017;"Destrict heating";94,1;NA;NA;NA;NA
"co2_per_kwh";2018;"Destrict heating";91,9;NA;NA;NA;NA
"co2_per_kwh";2019;"Destrict heating";85,9;NA;NA;NA;NA
"co2_per_kwh";2020;"Destrict heating";71,8;NA;NA;NA;NA
"co2_per_kwh";2021;"Destrict heating";53,5;NA;NA;NA;NA
"co2_per_kwh";2022;"Destrict heating";61,5;NA;NA;NA;NA
"co2_per_kwh";2015;"Gas";202,9;NA;NA;NA;NA
"co2_per_kwh";2016;"Gas";199,1;NA;NA;NA;NA
"co2_per_kwh";2017;"Gas";194,4;NA;NA;NA;NA
"co2_per_kwh";2018;"Gas";190,4;NA;NA;NA;NA
"co2_per_kwh";2019;"Gas";184,2;NA;NA;NA;NA
"co2_per_kwh";2020;"Gas";170,3;NA;NA;NA;NA
"co2_per_kwh";2021;"Gas";156,3;NA;NA;NA;NA
"co2_per_kwh";2022;"Gas";134,2;NA;NA;NA;NA
"final_vs_gross_energy";2015;NA;81,4;"Total";NA;NA;NA
"final_vs_gross_energy";2016;NA;81,5;"Total";NA;NA;NA
"final_vs_gross_energy";2017;NA;82,3;"Total";NA;NA;NA
"final_vs_gross_energy";2018;NA;82,2;"Total";NA;NA;NA
"final_vs_gross_energy";2019;NA;83,5;"Total";NA;NA;NA
"final_vs_gross_energy";2020;NA;82,6;"Total";NA;NA;NA
"final_vs_gross_energy";2021;NA;82,2;"Total";NA;NA;NA
"final_vs_gross_energy";2022;NA;84,6;"Total";NA;NA;NA
"final_vs_gross_energy";2023;NA;84,9;"Total";NA;NA;NA
"total_ghg_emissions";2015;NA;106124;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2016;NA;112659;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2017;NA;113254;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2018;NA;113774;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2019;NA;110342;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2020;NA;99278;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2021;NA;110250;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2022;NA;103189;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2023;NA;98801;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2024;NA;104415;NA;"Greenhouse gases, total (including CO&#8322, from biomass combustion)";NA;NA
"total_ghg_emissions";2015;NA;14143;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2016;NA;15229;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2017;NA;16766;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2018;NA;16576;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2019;NA;16708;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2020;NA;17037;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2021;NA;20042;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2022;NA;17718;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2023;NA;17596;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2024;NA;18288;NA;"Hereof Carbon dioxide (CO&#8322,) from biomass combustion";NA;NA
"total_ghg_emissions";2015;NA;39987;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2016;NA;43613;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2017;NA;44393;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2018;NA;46048;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2019;NA;46733;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2020;NA;39022;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2021;NA;46010;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
"total_ghg_emissions";2022;NA;42262;NA;"Hereof international transport conducted by Danish ships, aircraft, and vehicles";NA;NA
