DECILGEN;TID;INDHOLD
Palma coefficient;2015;4.17
Palma coefficient;2016;4.19
Palma coefficient;2017;4.28
Palma coefficient;2018;4.21
Palma coefficient;2019;4.35
Palma coefficient;2020;4.38
Palma coefficient;2021;4.54
Palma coefficient;2022;4.44
Palma coefficient;2023;4.63
10. decil;2015;607665.00
10. decil;2016;615554.00
10. decil;2017;641188.00
10. decil;2018;648231.00
10. decil;2019;688377.00
10. decil;2020;719999.00
10. decil;2021;779827.00
10. decil;2022;769052.00
10. decil;2023;834074.00
5.-9. decil;2015;280073.00
5.-9. decil;2016;285923.40
5.-9. decil;2017;293559.40
5.-9. decil;2018;301797.00
5.-9. decil;2019;309133.20
5.-9. decil;2020;324311.80
5.-9. decil;2021;337415.60
5.-9. decil;2022;339147.00
5.-9. decil;2023;348955.00
1.-4. decil;2015;145792.00
1.-4. decil;2016;146822.00
1.-4. decil;2017;149916.25
1.-4. decil;2018;153798.75
1.-4. decil;2019;158384.50
1.-4. decil;2020;164370.00
1.-4. decil;2021;171690.50
1.-4. decil;2022;173142.00
1.-4. decil;2023;180047.00
