VTYP;TID;INDHOLD
Election to the Parliament;2013;..
Election to the Parliament;2014;..
Election to the Parliament;2015;85.9
Election to the Parliament;2017;..
Election to the Parliament;2019;84.6
Election to the Parliament;2021;..
Election to the Parliament;2022;84.2
Election to the Parliament;2024;..
Election to the European Parliament;2013;..
Election to the European Parliament;2014;56.3
Election to the European Parliament;2015;..
Election to the European Parliament;2017;..
Election to the European Parliament;2019;66.1
Election to the European Parliament;2021;..
Election to the European Parliament;2022;..
Election to the European Parliament;2024;56.9
Election to the municipality councils;2013;71.9
Election to the municipality councils;2014;..
Election to the municipality councils;2015;..
Election to the municipality councils;2017;70.8
Election to the municipality councils;2019;..
Election to the municipality councils;2021;67.2
Election to the municipality councils;2022;..
Election to the municipality councils;2024;..
Election to the region councils;2013;71.8
Election to the region councils;2014;..
Election to the region councils;2015;..
Election to the region councils;2017;70.7
Election to the region councils;2019;..
Election to the region councils;2021;67.0
Election to the region councils;2022;..
Election to the region councils;2024;..
