date,route,expensive_port,alternative_port,expensive_price_usd_mt,alternative_price_usd_mt,spread_usd_mt,bunker_quantity_mt,gross_saving_usd,port_call_cost_usd,extra_days,delay_cost_usd,risk_buffer_usd,total_extra_cost_usd,net_saving_usd,profitable,notes
2026-05-25,Europe to Fujairah,Fujairah,Rotterdam,889.5,720.5,169.0,1000,169000.0,8000,0.0,0.0,16900.0,24900.0,144100.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-05-25,Europe to Fujairah,Fujairah,Gibraltar,889.5,741.0,148.5,1000,148500.0,8000,0.2,5000.0,14850.0,27850.0,120650.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-05-26,Europe to Fujairah,Fujairah,Rotterdam,927.5,725.0,202.5,1000,202500.0,8000,0.0,0.0,20250.0,28250.0,174250.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-05-26,Europe to Fujairah,Fujairah,Gibraltar,927.5,743.0,184.5,1000,184500.0,8000,0.2,5000.0,18450.0,31450.0,153050.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-05-27,Europe to Fujairah,Fujairah,Rotterdam,951.0,712.0,239.0,1000,239000.0,8000,0.0,0.0,23900.0,31900.0,207100.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-05-27,Europe to Fujairah,Fujairah,Gibraltar,951.0,734.0,217.0,1000,217000.0,8000,0.2,5000.0,21700.0,34700.0,182300.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-05-28,Europe to Fujairah,Fujairah,Rotterdam,954.5,703.0,251.5,1000,251500.0,8000,0.0,0.0,25150.0,33150.0,218350.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-05-28,Europe to Fujairah,Fujairah,Gibraltar,954.5,739.5,215.0,1000,215000.0,8000,0.2,5000.0,21500.0,34500.0,180500.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-05-29,Europe to Fujairah,Fujairah,Rotterdam,1024.5,699.5,325.0,1000,325000.0,8000,0.0,0.0,32500.0,40500.0,284500.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-05-29,Europe to Fujairah,Fujairah,Gibraltar,1024.5,729.0,295.5,1000,295500.0,8000,0.2,5000.0,29550.0,42550.0,252950.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-01,Europe to Fujairah,Fujairah,Rotterdam,1003.5,726.0,277.5,1000,277500.0,8000,0.0,0.0,27750.0,35750.0,241750.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-01,Europe to Fujairah,Fujairah,Gibraltar,1003.5,731.5,272.0,1000,272000.0,8000,0.2,5000.0,27200.0,40200.0,231800.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-02,Europe to Fujairah,Fujairah,Rotterdam,1063.5,712.5,351.0,1000,351000.0,8000,0.0,0.0,35100.0,43100.0,307900.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-02,Europe to Fujairah,Fujairah,Gibraltar,1063.5,730.0,333.5,1000,333500.0,8000,0.2,5000.0,33350.0,46350.0,287150.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-03,Europe to Fujairah,Fujairah,Rotterdam,1201.0,716.5,484.5,1000,484500.0,8000,0.0,0.0,48450.0,56450.0,428050.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-03,Europe to Fujairah,Fujairah,Gibraltar,1201.0,738.5,462.5,1000,462500.0,8000,0.2,5000.0,46250.0,59250.0,403250.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-04,Europe to Fujairah,Fujairah,Rotterdam,1183.0,709.0,474.0,1000,474000.0,8000,0.0,0.0,47400.0,55400.0,418600.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-04,Europe to Fujairah,Fujairah,Gibraltar,1183.0,734.5,448.5,1000,448500.0,8000,0.2,5000.0,44850.0,57850.0,390650.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-05,Europe to Fujairah,Fujairah,Rotterdam,1241.0,696.5,544.5,1000,544500.0,8000,0.0,0.0,54450.0,62450.0,482050.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-05,Europe to Fujairah,Fujairah,Gibraltar,1241.0,736.0,505.0,1000,505000.0,8000,0.2,5000.0,50500.0,63500.0,441500.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
2026-06-08,Europe to Fujairah,Fujairah,Rotterdam,1233.5,701.0,532.5,1000,532500.0,8000,0.0,0.0,53250.0,61250.0,471250.0,True,Bunker at origin / Europe before sailing to Fujairah
2026-06-08,Europe to Fujairah,Fujairah,Gibraltar,1233.5,748.5,485.0,1000,485000.0,8000,0.2,5000.0,48500.0,61500.0,423500.0,True,Bunker at Gibraltar as strategic Mediterranean/Atlantic hub
