date,price_usd_mt,change_usd_mt,high_usd_mt,low_usd_mt,spread_usd_mt,port,fuel_type,source,url,scraped_at,daily_rank
2026-05-25,720.5,-38.0,757.0,680.0,77.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-05-25,741.0,-16.0,769.0,712.0,57.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-05-25,782.0,-45.5,823.5,764.5,59.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,3.0
2026-05-25,798.0,-38.5,811.5,784.5,27.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,4.0
2026-05-25,889.5,-17.0,930.0,853.0,77.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-05-26,725.0,4.5,775.0,689.0,86.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-05-26,743.0,2.0,775.0,715.0,60.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-05-26,793.5,11.5,834.0,775.0,59.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,3.0
2026-05-26,807.5,9.5,825.0,780.0,45.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,4.0
2026-05-26,927.5,38.0,945.0,917.0,28.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-05-27,712.0,-13.0,760.0,683.0,77.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-05-27,734.0,-9.0,765.0,715.0,50.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-05-27,787.5,-20.0,825.0,763.0,62.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-05-27,794.5,1.0,834.5,774.0,60.5,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-05-27,951.0,23.5,1050.0,916.0,134.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-05-28,703.0,-9.0,745.0,681.5,63.5,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-05-28,739.5,5.5,790.0,720.0,70.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-05-28,769.0,-18.5,803.0,748.5,54.5,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-05-28,790.5,-4.0,829.0,768.5,60.5,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-05-28,954.5,3.5,1055.0,920.0,135.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-05-29,699.5,-3.5,735.0,679.5,55.5,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-05-29,729.0,-10.5,785.0,700.0,85.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-05-29,755.0,-14.0,769.0,734.5,34.5,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-05-29,781.0,-9.5,800.0,753.0,47.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
