date,expensive_port,cheap_port,expensive_price_usd_mt,cheap_price_usd_mt,spread_usd_mt,theoretical_saving_1000mt_usd
2026-05-25,Fujairah,Rotterdam,889.5,720.5,169.0,169000.0
2026-05-25,Fujairah,Gibraltar,889.5,741.0,148.5,148500.0
2026-05-25,Fujairah,Singapore,889.5,782.0,107.5,107500.0
2026-05-25,Fujairah,Houston,889.5,798.0,91.5,91500.0
2026-05-25,Houston,Rotterdam,798.0,720.5,77.5,77500.0
2026-05-25,Singapore,Rotterdam,782.0,720.5,61.5,61500.0
2026-05-25,Houston,Gibraltar,798.0,741.0,57.0,57000.0
2026-05-25,Singapore,Gibraltar,782.0,741.0,41.0,41000.0
2026-05-25,Gibraltar,Rotterdam,741.0,720.5,20.5,20500.0
2026-05-25,Houston,Singapore,798.0,782.0,16.0,16000.0
2026-05-26,Fujairah,Rotterdam,927.5,725.0,202.5,202500.0
2026-05-26,Fujairah,Gibraltar,927.5,743.0,184.5,184500.0
2026-05-26,Fujairah,Singapore,927.5,793.5,134.0,134000.0
2026-05-26,Fujairah,Houston,927.5,807.5,120.0,120000.0
2026-05-26,Houston,Rotterdam,807.5,725.0,82.5,82500.0
2026-05-26,Singapore,Rotterdam,793.5,725.0,68.5,68500.0
2026-05-26,Houston,Gibraltar,807.5,743.0,64.5,64500.0
2026-05-26,Singapore,Gibraltar,793.5,743.0,50.5,50500.0
2026-05-26,Gibraltar,Rotterdam,743.0,725.0,18.0,18000.0
2026-05-26,Houston,Singapore,807.5,793.5,14.0,14000.0
2026-05-27,Fujairah,Rotterdam,951.0,712.0,239.0,239000.0
2026-05-27,Fujairah,Gibraltar,951.0,734.0,217.0,217000.0
2026-05-27,Fujairah,Houston,951.0,787.5,163.5,163500.0
2026-05-27,Fujairah,Singapore,951.0,794.5,156.5,156500.0
2026-05-27,Singapore,Rotterdam,794.5,712.0,82.5,82500.0
2026-05-27,Houston,Rotterdam,787.5,712.0,75.5,75500.0
2026-05-27,Singapore,Gibraltar,794.5,734.0,60.5,60500.0
2026-05-27,Houston,Gibraltar,787.5,734.0,53.5,53500.0
2026-05-27,Gibraltar,Rotterdam,734.0,712.0,22.0,22000.0
2026-05-27,Singapore,Houston,794.5,787.5,7.0,7000.0
2026-05-28,Fujairah,Rotterdam,954.5,703.0,251.5,251500.0
2026-05-28,Fujairah,Gibraltar,954.5,739.5,215.0,215000.0
2026-05-28,Fujairah,Houston,954.5,769.0,185.5,185500.0
2026-05-28,Fujairah,Singapore,954.5,790.5,164.0,164000.0
2026-05-28,Singapore,Rotterdam,790.5,703.0,87.5,87500.0
2026-05-28,Houston,Rotterdam,769.0,703.0,66.0,66000.0
2026-05-28,Singapore,Gibraltar,790.5,739.5,51.0,51000.0
2026-05-28,Gibraltar,Rotterdam,739.5,703.0,36.5,36500.0
2026-05-28,Houston,Gibraltar,769.0,739.5,29.5,29500.0
2026-05-28,Singapore,Houston,790.5,769.0,21.5,21500.0
2026-05-29,Fujairah,Rotterdam,1024.5,699.5,325.0,325000.0
2026-05-29,Fujairah,Gibraltar,1024.5,729.0,295.5,295500.0
2026-05-29,Fujairah,Houston,1024.5,755.0,269.5,269500.0
2026-05-29,Fujairah,Singapore,1024.5,781.0,243.5,243500.0
2026-05-29,Singapore,Rotterdam,781.0,699.5,81.5,81500.0
2026-05-29,Houston,Rotterdam,755.0,699.5,55.5,55500.0
2026-05-29,Singapore,Gibraltar,781.0,729.0,52.0,52000.0
2026-05-29,Gibraltar,Rotterdam,729.0,699.5,29.5,29500.0
2026-05-29,Houston,Gibraltar,755.0,729.0,26.0,26000.0
2026-05-29,Singapore,Houston,781.0,755.0,26.0,26000.0
2026-06-01,Fujairah,Rotterdam,1003.5,726.0,277.5,277500.0
2026-06-01,Fujairah,Gibraltar,1003.5,731.5,272.0,272000.0
2026-06-01,Fujairah,Houston,1003.5,768.0,235.5,235500.0
2026-06-01,Fujairah,Singapore,1003.5,789.0,214.5,214500.0
2026-06-01,Singapore,Rotterdam,789.0,726.0,63.0,63000.0
2026-06-01,Singapore,Gibraltar,789.0,731.5,57.5,57500.0
2026-06-01,Houston,Rotterdam,768.0,726.0,42.0,42000.0
2026-06-01,Houston,Gibraltar,768.0,731.5,36.5,36500.0
2026-06-01,Singapore,Houston,789.0,768.0,21.0,21000.0
2026-06-01,Gibraltar,Rotterdam,731.5,726.0,5.5,5500.0
2026-06-02,Fujairah,Rotterdam,1063.5,712.5,351.0,351000.0
