port,country,region,locode,latitude,longitude
Singapore,Singapore,Asia,SGSIN,1.2644,103.8223
Colombo,Sri Lanka,Asia,LKCMB,6.9486,79.8436
Suez,Egypt,Middle East,EGSUZ,29.9668,32.5498
Malta,Malta,Mediterranean,MTMLA,35.8906,14.5074
Gibraltar,Gibraltar,Mediterranean,GIGIB,36.1408,-5.3536
Rotterdam,Netherlands,Europe,NLRTM,51.9480,4.1420
Port Louis,Mauritius,Indian Ocean,MUPLU,-20.1609,57.5012
Cape Town,South Africa,Africa,ZACPT,-33.9180,18.4241
Las Palmas,Spain,Atlantic,ESLPA,28.1386,-15.4264
Fujairah,United Arab Emirates,Middle East,AEFJR,25.1288,56.3265
Houston,United States,Americas,USHOU,29.7285,-95.2089
Panama,Panama,Americas,PAPTY,8.9674,-79.5330
Djibouti,Djibouti,Africa,DJDJI,11.5880,43.1450
